DDD   41-21-59.000N 091-08-56.600W
DDL   43-12-43.716N 095-50-02.059W
DDY   43-05-27.083N 106-16-37.288W
DEC   39-44-15.030N 088-51-22.963W
DEL   28-12-50.960N 105-26-54.840W
DEN   39-48-45.000N 104-39-38.700W
DET   42-24-18.134N 083-00-58.714W
DGD   37-01-24.489N 092-52-36.922W
DGO   24-08-00.000N 104-32-00.000W
DHP   25-47-59.862N 080-20-56.528W
DHT   36-05-29.249N 102-32-40.704W
DIK   46-51-35.942N 102-46-24.607W
DIW   34-34-06.726N 077-27-10.572W
DJB   41-21-29.034N 082-09-43.087W
DKK   42-29-26.007N 079-16-26.751W
DLF   29-21-39.204N 100-46-18.168W
DLG   58-59-39.208N 158-33-08.072W
DLH   46-48-07.785N 092-12-10.285W
DLL   43-33-03.132N 089-45-48.947W
DLN   45-14-54.797N 112-32-49.700W
DMN   32-16-31.985N 107-36-19.805W
DNJ   44-46-01.608N 116-12-22.574W
DNV   40-17-37.631N 087-33-25.866W
DNW   43-49-41.801N 110-20-07.708W
DNY   42-10-41.810N 074-57-24.986W
DPA   41-53-25.300N 088-21-00.673W
DPK   40-47-30.354N 073-18-13.224W
DPR   45-04-41.431N 101-42-54.257W
DQN   40-00-59.106N 084-23-48.735W
DQO   39-40-41.329N 075-36-25.532W
DR    30-45-07.688N 093-20-04.994W
DRK   34-42-09.203N 112-28-49.257W
DRO   37-09-11.711N 107-44-58.624W
DRU   46-38-09.946N 113-11-11.736W
DSD   44-15-10.000N 121-18-12.700W
DSM   41-26-15.282N 093-38-54.882W
DTA   39-18-08.362N 112-30-20.021W
DTL   46-49-31.851N 095-52-55.175W
DTN   32-32-23.506N 093-44-28.719W
DTW   42-13-40.140N 083-21-53.754W
DUC   34-23-04.107N 097-55-00.523W
DUG   31-28-21.655N 109-36-07.450W
DVC   37-48-31.463N 108-55-52.586W
DVL   48-06-54.813N 098-54-45.070W
DVN   41-36-40.113N 090-35-08.495W
DVV   39-53-40.900N 104-37-27.600W
DWN   45-05-14.865N 094-27-13.859W
DXO   42-12-47.300N 083-22-00.000W
DYR   36-01-07.057N 089-19-03.356W
EAR   40-43-32.147N 099-00-18.406W
EAT   47-23-58.860N 120-12-38.938W
EAU   44-53-51.557N 091-28-42.777W
ECA   37-50-00.935N 121-10-17.087W
ECB   38-09-30.105N 082-54-36.197W
ECG   36-15-27.267N 076-10-32.252W
ECH   55-20-58.748N 131-42-06.066W
ECK   43-15-21.188N 082-43-04.546W
ECS   43-52-52.222N 104-18-28.102W
EDN   31-17-45.614N 085-54-11.781W
EDS   33-27-20.556N 080-51-30.333W
EDW   34-58-56.500N 117-43-57.380W
EED   34-45-57.615N 114-28-26.775W
EEF   58-10-15.479N 135-15-28.503W
EEN   42-47-39.400N 072-17-30.400W
EEO   40-02-55.684N 107-53-09.306W
EHF   35-29-04.444N 119-05-50.269W
EIC   32-46-16.913N 093-48-35.745W
EKN   38-54-51.969N 080-05-57.381W
EKR   40-04-02.902N 107-55-29.569W
ELA   29-39-44.828N 096-19-01.787W
ELB   33-40-33.707N 117-43-51.901W
ELD   33-15-22.162N 092-44-38.177W
ELN   47-01-27.753N 120-27-30.444W
ELO   47-49-18.668N 091-49-48.530W
ELP   31-48-57.280N 106-16-54.776W
ELW   34-25-09.076N 082-47-04.893W
ELX   42-08-39.846N 086-07-21.464W
ELY   39-17-53.251N 114-50-53.894W
ELZ   42-05-22.734N 077-59-58.376W
EMG   32-24-00.556N 093-35-42.533W
EMI   39-29-42.027N 076-58-42.859W
EMP   38-17-28.122N 096-08-17.219W
ENA   60-36-52.933N 151-11-42.874W
END   36-20-44.123N 097-55-07.711W
ENE   43-25-32.502N 070-36-48.695W
ENI   39-03-11.628N 123-16-27.128W
ENL   38-25-12.080N 089-09-32.460W
ENM   62-47-00.171N 164-29-15.767W
ENN   64-35-24.035N 149-04-22.335W
ENO   39-13-54.003N 075-30-57.325W
ENW   42-35-56.700N 087-55-54.000W
EON   41-16-10.697N 087-47-27.792W
EOS   36-50-32.814N 094-26-08.523W
EPH   47-22-40.508N 119-25-26.414W
ERI   42-01-02.702N 080-17-33.729W
ERY   46-18-45.997N 085-27-51.388W
ESC   45-43-21.487N 087-05-22.583W
ESF   31-26-51.043N 092-19-18.984W
ESL   39-13-31.774N 078-59-22.200W
EST   43-24-32.848N 094-44-39.939W
ETG   41-12-53.819N 078-08-33.923W
ETL   38-02-24.908N 108-15-30.868W
