K37V  40-20-22.023N 099-54-23.447W
K38D  40-56-53.600N 080-51-45.700W
K38J  33-43-43.097N 079-30-57.514W
K38S  46-23-19.737N 112-46-01.143W
K38U  38-21-44.927N 111-35-45.659W
K39N  40-23-54.054N 074-39-27.373W
K3A1  34-16-07.350N 086-51-30.010W
K3A2  36-24-36.303N 083-33-19.662W
K3A4  35-56-31.129N 079-41-07.881W
K3A7  32-49-15.466N 087-51-45.049W
K3A8  33-51-04.409N 088-35-15.164W
K3AU  37-40-17.860N 097-04-40.340W
K3B0  42-06-03.341N 072-02-18.270W
K3B1  45-27-46.900N 069-33-05.800W
K3B2  42-05-53.668N 070-40-19.635W
K3B3  42-25-30.329N 071-47-28.258W
K3B4  43-08-35.313N 070-46-20.196W
K3B5  44-11-15.256N 070-13-58.197W
K3B9  41-23-02.057N 072-30-21.220W
K3BS  43-39-46.495N 084-15-40.770W
K3CK  42-12-24.491N 088-19-22.945W
K3CM  43-32-48.900N 083-53-43.808W
K3CU  46-11-39.296N 091-14-47.075W
K3D4  44-37-30.230N 086-12-02.230W
K3DW  37-13-18.171N 093-14-51.670W
K3E0  35-42-50.156N 100-36-11.492W
K3F2  32-25-00.466N 099-00-01.244W
K3F3  32-04-24.455N 093-45-55.868W
K3F4  32-51-40.800N 094-00-36.553W
K3F6  34-01-39.479N 100-16-55.209W
K3F7  35-48-24.670N 096-25-18.680W
K3F9  32-40-36.100N 095-30-38.900W
K3FM  43-26-20.059N 085-59-41.208W
K3FU  45-01-54.907N 099-06-56.391W
K3G1  42-02-40.197N 079-51-14.184W
K3G3  41-00-05.696N 081-45-18.472W
K3G4  40-54-10.700N 082-15-20.300W
K3G5  39-27-00.326N 079-39-59.198W
K3G6  40-54-21.600N 081-00-00.100W
K3G7  43-14-05.000N 077-07-13.334W
K3GM  43-02-02.567N 086-11-53.385W
K3GV  39-00-56.024N 094-12-47.809W
K3HO  41-33-15.132N 087-15-45.129W
K3I2  38-54-52.700N 082-05-54.900W
K3I3  39-32-52.032N 087-22-38.469W
K3I4  38-15-30.405N 080-39-02.327W
K3I6  37-44-45.344N 082-46-44.576W
K3IP  39-04-00.020N 094-20-30.818W
K3J0  32-52-03.597N 081-04-59.379W
K3J1  32-29-33.673N 080-59-32.389W
K3J7  33-35-51.600N 083-08-20.400W
K3JC  39-02-35.792N 096-50-35.833W
K3K3  37-59-30.047N 101-44-46.616W
K3K6  38-43-58.471N 089-48-23.642W
K3K7  38-27-25.068N 101-21-11.578W
K3K8  37-13-41.089N 099-19-51.411W
K3L2  35-47-42.911N 115-37-38.020W
K3LF  39-09-44.970N 089-40-28.694W
K3M2  34-08-40.371N 087-19-40.052W
K3M3  35-02-35.269N 085-01-18.815W
K3M7  36-31-06.150N 086-03-29.811W
K3M8  33-23-20.422N 088-00-20.081W
K3M9  33-33-37.596N 092-05-07.399W
K3MY  40-47-42.933N 089-36-48.249W
K3N6  40-19-47.592N 074-20-48.433W
K3O1  37-15-45.782N 120-57-47.731W
K3O7  36-53-36.043N 121-24-36.974W
K3Q4  38-49-59.680N 119-23-45.581W
K3R0  28-21-52.399N 097-47-31.495W
K3R1  28-58-23.718N 095-51-48.439W
K3R2  30-09-42.250N 092-29-02.260W
K3R3  30-24-49.100N 097-39-54.100W
K3R4  31-32-41.628N 093-29-11.231W
K3R7  30-14-33.696N 092-40-24.412W
K3R9  30-21-27.300N 097-59-40.100W
K3RC  44-28-30.062N 084-34-00.081W
K3S4  42-06-13.407N 123-40-56.248W
K3S8  42-30-36.422N 123-23-16.762W
K3S9  45-14-47.468N 120-09-59.124W
K3SQ  38-50-55.181N 090-30-00.426W
K3T1  32-44-28.963N 095-29-47.439W
K3TR  41-50-09.269N 086-13-30.634W
K3U3  46-09-11.278N 112-52-04.224W
K3U4  45-36-00.000N 106-16-02.051W
K3U7  47-28-52.795N 112-52-11.164W
K3U8  48-09-44.927N 110-06-47.747W
K3V0  43-43-29.959N 103-21-01.696W
K3V4  40-20-03.235N 103-48-14.223W
K3V5  40-35-18.010N 105-02-30.025W
K3V7  45-07-29.948N 105-05-31.938W
K3WO  44-47-16.000N 088-33-41.488W
K3Y2  42-59-06.321N 091-47-26.175W
K3Y3  41-21-45.964N 094-01-15.823W
K40G  35-39-02.325N 112-08-52.995W
K40J  30-04-09.400N 083-34-50.100W
K40N  39-58-44.300N 075-51-55.700W
K40U  40-59-09.852N 109-40-42.532W
K41A  32-30-52.000N 085-52-33.000W
K41U  39-19-44.862N 111-36-52.703W
K42J  29-50-41.100N 082-02-51.100W
K42M  36-31-00.224N 091-34-00.510W
K42S  48-06-57.451N 105-10-55.894W
K42U  41-08-55.794N 111-45-59.772W
K43A  35-23-17.503N 079-47-34.140W
K43B  44-43-30.270N 067-59-28.025W
K43U  39-31-28.866N 111-28-30.679W
K44C  42-29-52.000N 088-58-03.400W
K44I  36-38-16.235N 085-09-49.843W
