ACOVE 42-14-05.220N 074-01-54.590W
ACOVY 39-51-41.460N 119-59-31.420W
ACPAJ 33-20-31.330N 110-36-10.000W
ACPAP 43-11-13.680N 091-47-26.380W
ACRAM 42-02-39.520N 073-43-18.550W
ACRAN 61-04-26.410N 156-29-27.810W
ACRAT 34-13-01.920N 118-58-42.710W
ACRES 32-26-30.050N 105-47-14.210W
ACREW 25-54-34.800N 097-39-54.200W
ACRON 13-37-25.510N 143-01-52.110E
ACTRA 39-57-26.720N 084-07-43.350W
ACUDU 66-52-08.380N 162-21-45.080W
ACUFF 32-10-53.420N 096-36-39.030W
ACUHA 35-31-08.370N 097-38-43.770W
ACUXA 33-05-40.730N 107-09-04.760W
ACVEK 30-35-19.740N 097-41-05.620W
ACVIK 42-49-04.340N 090-18-33.820W
ACVOL 44-35-10.220N 123-16-36.940W
ACWEW 46-11-39.060N 119-01-00.440W
ACYIJ 62-14-34.000N 145-28-51.150W
ACYOG 44-31-40.440N 069-11-13.200W
ACZES 38-19-34.880N 104-53-21.760W
ACZUP 32-09-20.180N 088-47-15.140W
ADABY 35-28-33.580N 108-52-21.410W
ADADE 42-01-40.250N 086-06-51.970W
ADAGE 39-35-24.170N 090-00-24.390W
ADAIR 36-27-54.140N 095-13-55.690W
ADALE 42-51-10.840N 086-00-39.570W
ADAME 41-58-09.230N 087-39-37.110W
ADAMM 34-01-01.370N 117-49-00.540W
ADANE 38-54-54.750N 104-23-56.800W
ADAPE 35-38-51.230N 114-15-59.370W
ADAPS 61-59-47.910N 164-01-30.280W
ADARE 42-16-03.090N 072-38-58.490W
ADAXY 32-24-40.890N 097-33-25.220W
ADAYI 13-34-02.830N 144-57-45.050E
ADBEJ 68-17-06.420N 166-52-33.840W
ADBON 00-00-00.000N 154-13-42.000E
ADCAP 47-12-46.000N 119-18-01.070W
ADCIN 68-24-31.200N 166-44-51.880W
ADCOJ 42-07-52.020N 092-16-07.010W
ADCOK 39-12-11.890N 076-40-41.880W
ADCOM 33-43-57.730N 080-55-14.530W
ADDAM 37-58-04.160N 076-03-41.520W
ADDAX 29-58-52.150N 083-59-54.070W
ADDEE 43-26-55.300N 084-00-01.980W
ADDEL 32-43-04.980N 117-07-32.810W
ADDEY 40-52-02.450N 098-18-53.120W
ADDIS 32-48-16.320N 096-45-53.820W
ADDIV 66-12-40.430N 166-16-13.420W
ADDLE 42-59-39.750N 094-16-35.750W
